promo_label,orders,units,gross_item_sales,item_promo_discount,net_item_sales,shipping_promo_discount_excluded
40% off BedSheets - Vika- Creators - Pre-PD 26 (BESTSHEETS10),75,82,3357.5399999999995,1343.1800000000005,2014.359999999999,53.24
40% off BedSheets - Vika- Creators - Pre-PD 26 (ICONICSETS40),45,61,2605.5699999999993,1042.3200000000002,1563.249999999999,31.340000000000003
fec664a8-f0a6-41d6-8a5f-fa32e8869a83,220,319,11385.46,793.82,10591.64,137.42999999999998
40% off BedSheets - Vika- Creators - Pre-PD 26 (BESTSHEETS40),32,33,1405.0100000000004,562.0700000000002,842.9400000000003,11.96
40% off BedSheets - Vika- Creators - Pre-PD 26 (BESTSHEETS7),27,32,1345.0400000000004,538.08,806.9600000000004,15.950000000000001
BedSheets - Vika- Creators - Pre-PD 26 (ICONICBED24),15,17,717.4900000000002,287.03000000000003,430.4600000000002,13.57
40% off BedSheets - Vika- Creators - Pre-PD 26 (40MELLANNI),11,14,596.5800000000002,238.65,357.9300000000002,4.98
40% off BedSheets - Vika- Creators - Pre-PD 26 (ICONICSETS58),11,13,534.6100000000001,213.86999999999998,320.7400000000001,2.99
40% off BedSheets - Vika- Creators - Pre-PD 26 (BESTSHEETS31),8,9,386.73,154.70999999999998,232.02000000000004,5.98
40% off BedSheets - Vika- Creators - Pre-PD 26 (ICONBED67),2,6,227.82,91.13000000000001,136.69,0.0
40% off BedSheets - Vika- Creators - Pre-PD 26 (BESTSHEETS22),4,4,171.88,68.75999999999999,103.12,5.98
40% off BedSheets - Vika- Creators - Pre-PD 26 (ICONICSETS92),1,3,129.91,51.959999999999994,77.95,5.27
40% off BedSheets - Vika- Levanta general - June (ICONTIME40),2,2,91.94,36.78,55.16,0.0
40% off BedSheets - Vika- Creators - Pre-PD 26 (ICONICSETS34),1,2,84.94,33.98,50.96,0.0
40% off BedSheets - Vika- Creators - Pre-PD 26 (ICONICSETS51),2,2,84.94,33.98,50.96,0.0
40% off BedSheets - Vika- Creators - Pre-PD 26 (BESTSHEETS18),2,2,82.94,33.18,49.76,2.99
"40% off BedSheets - Vika- Creators - Pre-PD 26 (BESTSHEETS31),BedSheets - Vika- Creators - Pre-PD 26 (ICONICBED24)",1,1,51.97,20.79,31.18,0.0
40% off BedSheets - Vika- Creators - Pre-PD 26 (ICONICSETS53),1,1,51.97,20.79,31.18,0.0
40% off BedSheets - Vika- Creators - Pre-PD 26 (BESTSHEETS8),1,1,50.97,20.39,30.58,0.0
"40% off BedSheets - Vika- Creators - Pre-PD 26 (BESTSHEETS60),40% off BedSheets - Vika- Creators - Pre-PD 26 (ICONICSETS57)",1,1,49.97,19.99,29.98,0.0
"40% off BedSheets - Vika- Creators - Pre-PD 26 (BESTSHEETS10),40% off BedSheets - Vika- Creators - Pre-PD 26 (BESTSHEETS40)",1,1,46.97,18.79,28.18,0.0
40% off BedSheets - Vika- Creators - Pre-PD 26 (ICONICBED30),1,1,42.97,17.19,25.779999999999998,0.99
40% off BedSheets - Vika- Creators - Pre-PD 26 (ICONICVIP39),1,1,40.97,16.39,24.58,0.0
40% off BedSheets - Vika- Creators - Pre-PD 26 (ICONICSETS57),1,1,39.97,15.99,23.979999999999997,2.99
"BedSheets - Vika- Creators - Pre-PD 26 (ICONICBED24),40% off BedSheets - Vika- Creators - Pre-PD 26 (BESTSHEETS10)",1,1,39.97,15.99,23.979999999999997,0.0
